"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"11521",-0.5,"L1 1",38,"spillover1","rp","spillover1 rp",6,0,1855,1855,0.5,-0.5,1855
"11523",-0.5,"L1 1",39,"spillover1","rp","spillover1 rp",7,0,5087,5087,-0.5,0.5,5087
"11525",-0.5,"L1 1",26,"spillover1","rp","spillover1 rp",6,0,1207,1207,0.5,-0.5,1207
"11527",-0.5,"L1 1",34,"spillover1","rp","spillover1 rp",6,0,647,647,0.5,-0.5,647
"11529",-0.5,"L1 1",46,"spillover1","rp","spillover1 rp",6,0,559,559,0.5,-0.5,559
"11531",-0.5,"L1 1",29,"spillover1","rp","spillover1 rp",5,0,1283,1283,-0.5,-0.5,1283
"11533",-0.5,"L1 1",36,"spillover1","rp","spillover1 rp",8,0,3210,3210,0.5,0.5,3210
"11535",-0.5,"L1 1",30,"spillover1","rp","spillover1 rp",6,0,1617,1617,0.5,-0.5,1617
"11537",-0.5,"L1 1",40,"spillover1","rp","spillover1 rp",8,0,1800,1800,0.5,0.5,1800
"11539",-0.5,"L1 1",33,"spillover1","rp","spillover1 rp",5,0,1451,1451,-0.5,-0.5,1451
"11541",-0.5,"L1 1",43,"spillover1","rp","spillover1 rp",7,0,1260,1260,-0.5,0.5,1260
"11543",-0.5,"L1 1",28,"spillover1","rp","spillover1 rp",8,0,821,821,0.5,0.5,821
"11545",-0.5,"L1 1",31,"spillover1","rp","spillover1 rp",7,0,3777,3777,-0.5,0.5,3777
"11547",-0.5,"L1 1",45,"spillover1","rp","spillover1 rp",5,0,831,831,-0.5,-0.5,831
"11549",-0.5,"L1 1",25,"spillover1","rp","spillover1 rp",5,0,1926,1926,-0.5,-0.5,1926
"11551",-0.5,"L1 1",41,"spillover1","rp","spillover1 rp",5,0,336,336,-0.5,-0.5,336
"11553",-0.5,"L1 1",42,"spillover1","rp","spillover1 rp",6,0,3566,3566,0.5,-0.5,3566
"11555",-0.5,"L1 1",37,"spillover1","rp","spillover1 rp",5,0,963,963,-0.5,-0.5,963
"11557",-0.5,"L1 1",32,"spillover1","rp","spillover1 rp",8,0,1404,1404,0.5,0.5,1404
"11559",-0.5,"L1 1",48,"spillover1","rp","spillover1 rp",8,0,1596,1596,0.5,0.5,1596
"11561",-0.5,"L1 1",47,"spillover1","rp","spillover1 rp",7,0,1714,1714,-0.5,0.5,1714
"11563",-0.5,"L1 1",44,"spillover1","rp","spillover1 rp",8,0,2415,2415,0.5,0.5,2415
"11565",-0.5,"L1 1",27,"spillover1","rp","spillover1 rp",7,0,5724,5724,-0.5,0.5,5724
"11567",-0.5,"L1 1",35,"spillover1","rp","spillover1 rp",7,0,3428,3428,-0.5,0.5,3428
"11569",-0.5,"L1 2",46,"spillover1","rp","spillover1 rp",7,0,1471,1471,-0.5,0.5,1471
"11571",-0.5,"L1 2",25,"spillover1","rp","spillover1 rp",6,0,910,910,0.5,-0.5,910
"11573",-0.5,"L1 2",39,"spillover1","rp","spillover1 rp",8,0,919,919,0.5,0.5,919
"11575",-0.5,"L1 2",38,"spillover1","rp","spillover1 rp",7,0,3094,3094,-0.5,0.5,3094
"11577",-0.5,"L1 2",30,"spillover1","rp","spillover1 rp",7,0,1975,1975,-0.5,0.5,1975
"11579",-0.5,"L1 2",27,"spillover1","rp","spillover1 rp",8,0,3174,3174,0.5,0.5,3174
"11581",-0.5,"L1 2",29,"spillover1","rp","spillover1 rp",6,0,152,152,0.5,-0.5,152
"11583",-0.5,"L1 2",33,"spillover1","rp","spillover1 rp",6,0,454,454,0.5,-0.5,454
"11585",-0.5,"L1 2",32,"spillover1","rp","spillover1 rp",5,0,3848,3848,-0.5,-0.5,3848
"11587",-0.5,"L1 2",43,"spillover1","rp","spillover1 rp",8,0,1323,1323,0.5,0.5,1323
"11589",-0.5,"L1 2",45,"spillover1","rp","spillover1 rp",6,0,162,162,0.5,-0.5,162
"11591",-0.5,"L1 2",48,"spillover1","rp","spillover1 rp",5,0,2530,2530,-0.5,-0.5,2530
"11593",-0.5,"L1 2",47,"spillover1","rp","spillover1 rp",8,0,1760,1760,0.5,0.5,1760
"11595",-0.5,"L1 2",31,"spillover1","rp","spillover1 rp",8,0,923,923,0.5,0.5,923
"11597",-0.5,"L1 2",26,"spillover1","rp","spillover1 rp",7,0,6634,6634,-0.5,0.5,6634
"11599",-0.5,"L1 2",42,"spillover1","rp","spillover1 rp",7,0,2143,2143,-0.5,0.5,2143
"11601",-0.5,"L1 2",36,"spillover1","rp","spillover1 rp",5,0,357,357,-0.5,-0.5,357
"11603",-0.5,"L1 2",35,"spillover1","rp","spillover1 rp",8,0,2443,2443,0.5,0.5,2443
"11605",-0.5,"L1 2",44,"spillover1","rp","spillover1 rp",5,0,134,134,-0.5,-0.5,134
"11607",-0.5,"L1 2",41,"spillover1","rp","spillover1 rp",6,0,437,437,0.5,-0.5,437
"11609",-0.5,"L1 2",37,"spillover1","rp","spillover1 rp",6,0,338,338,0.5,-0.5,338
"11611",-0.5,"L1 2",40,"spillover1","rp","spillover1 rp",5,0,256,256,-0.5,-0.5,256
"11613",-0.5,"L1 2",28,"spillover1","rp","spillover1 rp",5,0,1653,1653,-0.5,-0.5,1653
"11615",-0.5,"L1 2",34,"spillover1","rp","spillover1 rp",7,0,200,200,-0.5,0.5,200
"11618",-0.5,"L1 3",34,"spillover1","rp","spillover1 rp",8,0,335,335,0.5,0.5,335
"11620",-0.5,"L1 3",30,"spillover1","rp","spillover1 rp",8,0,2456,2456,0.5,0.5,2456
"11622",-0.5,"L1 3",38,"spillover1","rp","spillover1 rp",8,0,1843,1843,0.5,0.5,1843
"11624",-0.5,"L1 3",43,"spillover1","rp","spillover1 rp",5,0,1929,1929,-0.5,-0.5,1929
"11626",-0.5,"L1 3",47,"spillover1","rp","spillover1 rp",5,0,1034,1034,-0.5,-0.5,1034
"11628",-0.5,"L1 3",25,"spillover1","rp","spillover1 rp",7,0,2200,2200,-0.5,0.5,2200
"11630",-0.5,"L1 3",37,"spillover1","rp","spillover1 rp",7,0,3608,3608,-0.5,0.5,3608
"11632",-0.5,"L1 3",40,"spillover1","rp","spillover1 rp",6,0,1230,1230,0.5,-0.5,1230
"11634",-0.5,"L1 3",42,"spillover1","rp","spillover1 rp",8,0,553,553,0.5,0.5,553
"11636",-0.5,"L1 3",33,"spillover1","rp","spillover1 rp",7,0,566,566,-0.5,0.5,566
"11638",-0.5,"L1 3",39,"spillover1","rp","spillover1 rp",5,0,3945,3945,-0.5,-0.5,3945
"11640",-0.5,"L1 3",41,"spillover1","rp","spillover1 rp",7,0,1097,1097,-0.5,0.5,1097
"11642",-0.5,"L1 3",27,"spillover1","rp","spillover1 rp",5,0,6069,6069,-0.5,-0.5,6069
"11644",-0.5,"L1 3",29,"spillover1","rp","spillover1 rp",7,0,2273,2273,-0.5,0.5,2273
"11646",-0.5,"L1 3",46,"spillover1","rp","spillover1 rp",8,0,1237,1237,0.5,0.5,1237
"11648",-0.5,"L1 3",28,"spillover1","rp","spillover1 rp",6,0,1271,1271,0.5,-0.5,1271
"11650",-0.5,"L1 3",35,"spillover1","rp","spillover1 rp",5,0,2920,2920,-0.5,-0.5,2920
"11652",-0.5,"L1 3",45,"spillover1","rp","spillover1 rp",7,0,1142,1142,-0.5,0.5,1142
"11654",-0.5,"L1 3",32,"spillover1","rp","spillover1 rp",6,0,1516,1516,0.5,-0.5,1516
"11656",-0.5,"L1 3",26,"spillover1","rp","spillover1 rp",8,0,3061,3061,0.5,0.5,3061
"11658",-0.5,"L1 3",36,"spillover1","rp","spillover1 rp",6,0,865,865,0.5,-0.5,865
