"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"17281",-0.5,"L1 1",38,"spillover2","rp","spillover2 rp",6,0,2638,2638,0.5,-0.5,2638
"17283",-0.5,"L1 1",39,"spillover2","rp","spillover2 rp",7,0,4957,4957,-0.5,0.5,4957
"17285",-0.5,"L1 1",26,"spillover2","rp","spillover2 rp",6,0,1321,1321,0.5,-0.5,1321
"17287",-0.5,"L1 1",34,"spillover2","rp","spillover2 rp",6,0,1817,1817,0.5,-0.5,1817
"17289",-0.5,"L1 1",46,"spillover2","rp","spillover2 rp",6,0,6469,6469,0.5,-0.5,6469
"17291",-0.5,"L1 1",29,"spillover2","rp","spillover2 rp",5,0,1038,1038,-0.5,-0.5,1038
"17293",-0.5,"L1 1",36,"spillover2","rp","spillover2 rp",8,0,10098,10098,0.5,0.5,10098
"17295",-0.5,"L1 1",30,"spillover2","rp","spillover2 rp",6,0,1082,1082,0.5,-0.5,1082
"17297",-0.5,"L1 1",40,"spillover2","rp","spillover2 rp",8,0,2030,2030,0.5,0.5,2030
"17299",-0.5,"L1 1",33,"spillover2","rp","spillover2 rp",5,0,2975,2975,-0.5,-0.5,2975
"17301",-0.5,"L1 1",43,"spillover2","rp","spillover2 rp",7,0,897,897,-0.5,0.5,897
"17303",-0.5,"L1 1",28,"spillover2","rp","spillover2 rp",8,0,2695,2695,0.5,0.5,2695
"17305",-0.5,"L1 1",31,"spillover2","rp","spillover2 rp",7,0,692,692,-0.5,0.5,692
"17307",-0.5,"L1 1",45,"spillover2","rp","spillover2 rp",5,0,644,644,-0.5,-0.5,644
"17309",-0.5,"L1 1",25,"spillover2","rp","spillover2 rp",5,0,2355,2355,-0.5,-0.5,2355
"17311",-0.5,"L1 1",41,"spillover2","rp","spillover2 rp",5,0,8819,8819,-0.5,-0.5,8819
"17313",-0.5,"L1 1",42,"spillover2","rp","spillover2 rp",6,0,581,581,0.5,-0.5,581
"17315",-0.5,"L1 1",37,"spillover2","rp","spillover2 rp",5,0,3940,3940,-0.5,-0.5,3940
"17317",-0.5,"L1 1",32,"spillover2","rp","spillover2 rp",8,0,1849,1849,0.5,0.5,1849
"17319",-0.5,"L1 1",48,"spillover2","rp","spillover2 rp",8,0,2244,2244,0.5,0.5,2244
"17321",-0.5,"L1 1",47,"spillover2","rp","spillover2 rp",7,0,780,780,-0.5,0.5,780
"17323",-0.5,"L1 1",44,"spillover2","rp","spillover2 rp",8,0,2182,2182,0.5,0.5,2182
"17325",-0.5,"L1 1",27,"spillover2","rp","spillover2 rp",7,0,6528,6528,-0.5,0.5,6528
"17327",-0.5,"L1 1",35,"spillover2","rp","spillover2 rp",7,0,204,204,-0.5,0.5,204
"17329",-0.5,"L1 2",46,"spillover2","rp","spillover2 rp",7,0,16001,16001,-0.5,0.5,NA
"17331",-0.5,"L1 2",25,"spillover2","rp","spillover2 rp",6,0,1232,1232,0.5,-0.5,1232
"17333",-0.5,"L1 2",39,"spillover2","rp","spillover2 rp",8,0,5152,5152,0.5,0.5,5152
"17335",-0.5,"L1 2",38,"spillover2","rp","spillover2 rp",7,0,786,786,-0.5,0.5,786
"17337",-0.5,"L1 2",30,"spillover2","rp","spillover2 rp",7,0,1099,1099,-0.5,0.5,1099
"17339",-0.5,"L1 2",27,"spillover2","rp","spillover2 rp",8,0,9085,9085,0.5,0.5,9085
"17341",-0.5,"L1 2",29,"spillover2","rp","spillover2 rp",6,0,6373,6373,0.5,-0.5,6373
"17343",-0.5,"L1 2",33,"spillover2","rp","spillover2 rp",6,0,569,569,0.5,-0.5,569
"17345",-0.5,"L1 2",32,"spillover2","rp","spillover2 rp",5,0,1387,1387,-0.5,-0.5,1387
"17347",-0.5,"L1 2",43,"spillover2","rp","spillover2 rp",8,0,2263,2263,0.5,0.5,2263
"17349",-0.5,"L1 2",45,"spillover2","rp","spillover2 rp",6,0,446,446,0.5,-0.5,446
"17351",-0.5,"L1 2",48,"spillover2","rp","spillover2 rp",5,0,501,501,-0.5,-0.5,501
"17353",-0.5,"L1 2",47,"spillover2","rp","spillover2 rp",8,0,824,824,0.5,0.5,824
"17355",-0.5,"L1 2",31,"spillover2","rp","spillover2 rp",8,0,1751,1751,0.5,0.5,1751
"17357",-0.5,"L1 2",26,"spillover2","rp","spillover2 rp",7,0,112,112,-0.5,0.5,112
"17359",-0.5,"L1 2",42,"spillover2","rp","spillover2 rp",7,0,818,818,-0.5,0.5,818
"17361",-0.5,"L1 2",36,"spillover2","rp","spillover2 rp",5,0,1220,1220,-0.5,-0.5,1220
"17363",-0.5,"L1 2",35,"spillover2","rp","spillover2 rp",8,0,826,826,0.5,0.5,826
"17365",-0.5,"L1 2",44,"spillover2","rp","spillover2 rp",5,0,508,508,-0.5,-0.5,508
"17367",-0.5,"L1 2",41,"spillover2","rp","spillover2 rp",6,0,2183,2183,0.5,-0.5,2183
