"","subject","type","item","condition","question","correct_answer","response","rt","group","clause_q","ambiguity"
"15","L1 1","gp",14,"b","0","-","-",3384,"L1",-0.5,0.5
"22","L1 1","gp",3,"c","0","-","-",4156,"L1",0.5,-0.5
"28","L1 1","gp",4,"d","0","-","-",3489,"L1",0.5,0.5
"32","L1 1","gp",7,"c","0","-","-",5264,"L1",0.5,-0.5
"61","L1 1","gp",9,"a","0","-","-",5412,"L1",-0.5,-0.5
"67","L1 1","gp",6,"b","0","-","-",3704,"L1",-0.5,0.5
"74","L1 1","gp",5,"a","0","-","-",6646,"L1",-0.5,-0.5
"88","L1 1","gp",20,"d","0","-","-",6440,"L1",0.5,0.5
"91","L1 1","gp",19,"c","0","-","-",3546,"L1",0.5,-0.5
"99","L1 1","gp",17,"a","0","-","-",4075,"L1",-0.5,-0.5
"105","L1 1","gp",2,"b","0","-","-",3114,"L1",-0.5,0.5
"111","L1 1","gp",12,"d","0","-","-",4900,"L1",0.5,0.5
"115","L1 1","gp",18,"b","0","-","-",4411,"L1",-0.5,0.5
"125","L1 1","gp",1,"a","0","-","-",3168,"L1",-0.5,-0.5
"129","L1 1","gp",10,"b","0","-","-",4849,"L1",-0.5,0.5
"132","L1 1","gp",11,"c","0","-","-",3770,"L1",0.5,-0.5
"135","L1 1","gp",13,"a","0","-","-",7652,"L1",-0.5,-0.5
"139","L1 1","gp",24,"d","0","-","-",5284,"L1",0.5,0.5
"143","L1 1","gp",16,"d","0","-","-",7749,"L1",0.5,0.5
"146","L1 1","gp",21,"a","0","-","-",7780,"L1",-0.5,-0.5
"150","L1 1","gp",22,"b","0","-","-",5617,"L1",-0.5,0.5
"158","L1 1","gp",15,"c","0","-","-",9105,"L1",0.5,-0.5
"170","L1 1","gp",23,"c","0","-","-",4358,"L1",0.5,-0.5
"174","L1 1","gp",8,"d","0","-","-",3081,"L1",0.5,0.5
"194","L1 2","gp",16,"a","0","-","-",7234,"L1",-0.5,-0.5
"201","L1 2","gp",17,"b","0","-","-",4808,"L1",-0.5,0.5
"208","L1 2","gp",4,"a","0","-","-",7346,"L1",-0.5,-0.5
"216","L1 2","gp",15,"d","0","-","-",3568,"L1",0.5,0.5
"222","L1 2","gp",2,"c","0","-","-",4187,"L1",0.5,-0.5
"229","L1 2","gp",10,"c","0","-","-",5184,"L1",0.5,-0.5
"240","L1 2","gp",6,"c","0","-","-",9151,"L1",0.5,-0.5
"246","L1 2","gp",19,"d","0","-","-",7389,"L1",0.5,0.5
"260","L1 2","gp",20,"a","0","-","-",5120,"L1",-0.5,-0.5
"264","L1 2","gp",14,"c","0","-","-",15480,"L1",0.5,-0.5
"268","L1 2","gp",8,"a","0","-","-",6755,"L1",-0.5,-0.5
"274","L1 2","gp",1,"b","0","-","-",2699,"L1",-0.5,0.5
