"","subject","type","item","condition","question","correct_answer","response","rt","group"
"20","L1 1","gap",9,-0.5,"!","{The_table}",1,3739,"L1"
"36","L1 1","gap",1,-0.5,"!","{The_car}",0,4587,"L1"
"40","L1 1","gap",7,-0.5,"!","{The_sky}",1,1791,"L1"
"55","L1 1","gap",11,-0.5,"!","{The_table}",1,1797,"L1"
"58","L1 1","gap",12,0.5,"!","{The_bread}",1,1744,"L1"
"65","L1 1","gap",6,0.5,"!","{The_race}",1,2085,"L1"
"78","L1 1","gap",2,0.5,"!","{The_truck}",1,1632,"L1"
"85","L1 1","gap",8,0.5,"!","{The_church}",1,3415,"L1"
"103","L1 1","gap",10,0.5,"!","{The_car}",1,2519,"L1"
"108","L1 1","gap",3,-0.5,"!","{The_ship}",0,2644,"L1"
"155","L1 1","gap",4,0.5,"!","{The_door}",1,2134,"L1"
"168","L1 1","gap",5,-0.5,"!","{The_car}",1,4305,"L1"
"199","L1 2","gap",10,-0.5,"!","{The_car}",1,2074,"L1"
"220","L1 2","gap",1,0.5,"!","{The_car}",0,2714,"L1"
"227","L1 2","gap",3,0.5,"!","{The_island}",1,1319,"L1"
"234","L1 2","gap",6,-0.5,"!","{The_race}",1,1820,"L1"
"244","L1 2","gap",9,0.5,"!","{The_table}",1,1392,"L1"
"249","L1 2","gap",4,-0.5,"!","{The_door}",1,1155,"L1"
"253","L1 2","gap",12,-0.5,"!","{The_bread}",1,2868,"L1"
"257","L1 2","gap",5,0.5,"!","{The_car}",1,1342,"L1"
"272","L1 2","gap",11,0.5,"!","{The_table}",1,954,"L1"
"321","L1 2","gap",8,-0.5,"!","{The_church}",1,1400,"L1"
"331","L1 2","gap",2,-0.5,"!","{The_truck}",1,2852,"L1"
"356","L1 2","gap",7,0.5,"!","{The_tower}",0,2391,"L1"
"375","L1 3","gap",11,-0.5,"!","{The_table}",1,1636,"L1"
"388","L1 3","gap",6,0.5,"!","{The_race}",1,2839,"L1"
"398","L1 3","gap",1,-0.5,"!","{The_bicycle}",1,2090,"L1"
"419","L1 3","gap",2,0.5,"!","{The_truck}",1,6286,"L1"
"433","L1 3","gap",3,-0.5,"!","{The_island}",1,5202,"L1"
"440","L1 3","gap",9,-0.5,"!","{The_table}",1,3036,"L1"
"452","L1 3","gap",8,0.5,"!","{The_church}",1,8095,"L1"
"463","L1 3","gap",5,-0.5,"!","{The_car}",1,5365,"L1"
"474","L1 3","gap",4,0.5,"!","{The_door}",1,2407,"L1"
"489","L1 3","gap",7,-0.5,"!","{The_tower}",0,4768,"L1"
"506","L1 3","gap",10,0.5,"!","{The_car}",1,3133,"L1"
"515","L1 3","gap",12,0.5,"!","{The_bread}",1,2051,"L1"
"588","L1 4","gap",12,-0.5,"!","{The_cake}",0,1759,"L1"
"592","L1 4","gap",2,-0.5,"!","{The_truck}",1,1696,"L1"
"617","L1 4","gap",1,0.5,"!","{The_car}",0,1413,"L1"
"621","L1 4","gap",5,0.5,"!","{The_car}",1,1435,"L1"
"625","L1 4","gap",3,0.5,"!","{The_ship}",0,2176,"L1"
"635","L1 4","gap",8,-0.5,"!","{The_church}",1,2291,"L1"
"642","L1 4","gap",6,-0.5,"!","{The_race}",1,1343,"L1"
"685","L1 4","gap",9,0.5,"!","{The_table}",1,2552,"L1"
"691","L1 4","gap",10,-0.5,"!","{The_car}",1,1237,"L1"
"698","L1 4","gap",11,0.5,"!","{The_room}",0,1632,"L1"
"711","L1 4","gap",7,0.5,"!","{The_tower}",0,1497,"L1"
"715","L1 4","gap",4,-0.5,"!","{The_window}",0,1567,"L1"
"735","L1 5","gap",1,-0.5,"!","{The_bicycle}",1,3963,"L1"
"761","L1 5","gap",6,0.5,"!","{The_race}",1,3783,"L1"
"768","L1 5","gap",4,0.5,"!","{The_door}",1,3219,"L1"
"775","L1 5","gap",7,-0.5,"!","{The_sky}",1,1479,"L1"
"784","L1 5","gap",8,0.5,"!","{The_church}",1,1518,"L1"
"787","L1 5","gap",9,-0.5,"!","{The_table}",1,2462,"L1"
"794","L1 5","gap",5,-0.5,"!","{The_car}",1,1739,"L1"
"801","L1 5","gap",11,-0.5,"!","{The_table}",1,1617,"L1"
"816","L1 5","gap",3,-0.5,"!","{The_ship}",0,4022,"L1"
"856","L1 5","gap",10,0.5,"!","{The_car}",1,1947,"L1"
"891","L1 5","gap",12,0.5,"!","{The_bread}",1,2466,"L1"
"894","L1 5","gap",2,0.5,"!","{The_wall}",0,4644,"L1"
"926","L1 6","gap",9,0.5,"!","{The_table}",1,3681,"L1"
"935","L1 6","gap",12,-0.5,"!","{The_bread}",1,2341,"L1"
